wave,group_name,question,frequency,estimate,group_category,mid_date
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,1308735,sexual_orientation,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,544458,sexual_orientation,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,99227,sexual_orientation,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,383310,sexual_orientation,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,1635075,sexual_orientation,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Not at all,1393123,sexual_orientation,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Several days,544219,sexual_orientation,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,More than half the days,126763,sexual_orientation,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,201323,sexual_orientation,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Did not report,1705378,sexual_orientation,10/11/2022
Week50,Yes,"Frequency of feeling nervous, anxious, or on edge",Not at all,4061898,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,"Frequency of feeling nervous, anxious, or on edge",Several days,6054454,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3715483,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5981479,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,"Frequency of feeling nervous, anxious, or on edge",Did not report,4206117,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,Frequency of not being able to stop or control worrying,Not at all,5424349,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,Frequency of not being able to stop or control worrying,Several days,6156577,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,Frequency of not being able to stop or control worrying,More than half the days,3712866,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,Frequency of not being able to stop or control worrying,Nearly every day,4528715,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Yes,Frequency of not being able to stop or control worrying,Did not report,4196924,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,"Frequency of feeling nervous, anxious, or on edge",Not at all,68723707,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,"Frequency of feeling nervous, anxious, or on edge",Several days,61219911,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,"Frequency of feeling nervous, anxious, or on edge",More than half the days,20369550,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,27666869,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,"Frequency of feeling nervous, anxious, or on edge",Did not report,33910129,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,Frequency of not being able to stop or control worrying,Not at all,82827988,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,Frequency of not being able to stop or control worrying,Several days,56682336,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,Frequency of not being able to stop or control worrying,More than half the days,16648750,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,Frequency of not being able to stop or control worrying,Nearly every day,21395800,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,No,Frequency of not being able to stop or control worrying,Did not report,34335292,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,"Frequency of feeling nervous, anxious, or on edge",Not at all,2424356,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,"Frequency of feeling nervous, anxious, or on edge",Several days,2562467,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1074242,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2815499,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,"Frequency of feeling nervous, anxious, or on edge",Did not report,2354382,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,Frequency of not being able to stop or control worrying,Not at all,3350161,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,Frequency of not being able to stop or control worrying,Several days,2275468,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,Frequency of not being able to stop or control worrying,More than half the days,968268,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,Frequency of not being able to stop or control worrying,Nearly every day,2235582,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Other,Frequency of not being able to stop or control worrying,Did not report,2401466,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,1733693,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,778071,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,385891,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,505164,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,1937650,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Not at all,1863684,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Several days,846467,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,More than half the days,307326,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,313672,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Did not report,2009320,lesbian_gay_bisexual_and_transgender,10/11/2022
Week50,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Not at all,11658586,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Several days,11474971,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",More than half the days,3413143,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Nearly every day,6275971,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Did not report,10421579,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Not at all,13002909,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Several days,11170603,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,More than half the days,3418676,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Nearly every day,5043195,hispanic_origin_and_race,10/11/2022
Week50,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Did not report,10608867,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Not at all,49115507,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Several days,46295254,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",More than half the days,16821198,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Nearly every day,23763640,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Did not report,21628529,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Not at all,62490642,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Several days,42036409,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,More than half the days,13841490,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Nearly every day,17416035,hispanic_origin_and_race,10/11/2022
Week50,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Did not report,21839552,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Not at all,8878972,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Several days,6260057,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",More than half the days,2394594,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Nearly every day,3623106,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Did not report,6024481,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Not at all,9708846,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Several days,6097083,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,More than half the days,2249398,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Nearly every day,3049569,hispanic_origin_and_race,10/11/2022
Week50,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Did not report,6076314,hispanic_origin_and_race,10/11/2022
Week50,"Asian alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Not at all,4610595,hispanic_origin_and_race,10/11/2022
